SpaceshipUpdate,CollisionUpdate,ParticlesUpdate,ProjectilesUpdate,BackgroundUpdate,SpaceshipDraw,ProjectilesDraw,BackgroundDraw,ParticlesDraw
1.64372e-005,2.46558e-006,4.31477e-005,4.1093e-007,2.99979e-005,0.000816107,4.1093e-007,0.000319704,7.80767e-006
1.60263e-005,2.46558e-006,4.19149e-005,4.1093e-007,2.79433e-005,0.000794328,4.1093e-007,0.000304088,7.80767e-006
2.83542e-005,2.87651e-006,4.39695e-005,8.21861e-007,2.83542e-005,0.000791452,0,0.000300801,7.80767e-006
1.72591e-005,2.46558e-006,4.1093e-005,4.1093e-007,2.9176e-005,0.000805834,4.1093e-007,0.00030491,8.21861e-006
1.47935e-005,2.46558e-006,4.23258e-005,4.1093e-007,2.79433e-005,0.000811176,0,0.000544893,8.21861e-006
1.56153e-005,2.05465e-006,4.27367e-005,4.1093e-007,2.99979e-005,0.00079063,4.1093e-007,0.000321758,7.80767e-006
1.43826e-005,2.46558e-006,4.06821e-005,4.1093e-007,2.9587e-005,0.000855146,4.1093e-007,0.00030039,7.39674e-006
1.47935e-005,2.46558e-006,4.35586e-005,8.21861e-007,2.99979e-005,0.000835832,4.1093e-007,0.000309841,7.80767e-006
1.60263e-005,2.05465e-006,4.1093e-005,8.21861e-007,2.99979e-005,0.000802958,0,0.000302034,7.80767e-006
1.72591e-005,2.05465e-006,3.98602e-005,8.21861e-007,2.9176e-005,0.00099404,4.1093e-007,0.00030491,9.04047e-006
1.68481e-005,2.46558e-006,4.47914e-005,4.1093e-007,2.83542e-005,0.000800081,4.1093e-007,0.000299979,7.80767e-006
1.60263e-005,2.05465e-006,4.52023e-005,8.21861e-007,3.08198e-005,0.000789808,4.1093e-007,0.000304499,7.80767e-006
1.72591e-005,2.46558e-006,4.47914e-005,4.1093e-007,2.79433e-005,0.000756523,4.1093e-007,0.00037107,8.62953e-006
1.72591e-005,2.46558e-006,4.39695e-005,4.1093e-007,2.99979e-005,0.000791452,4.1093e-007,0.000298335,8.21861e-006
1.64372e-005,2.46558e-006,4.39695e-005,8.21861e-007,2.99979e-005,0.000791452,4.1093e-007,0.000313129,7.80767e-006
2.42449e-005,3.28744e-006,5.09554e-005,1.23279e-006,2.9587e-005,0.000791041,4.1093e-007,0.000300801,7.80767e-006
1.72591e-005,2.87651e-006,5.01335e-005,4.1093e-007,2.99979e-005,0.000756112,4.1093e-007,0.000299157,7.80767e-006
3.32853e-005,2.87651e-006,4.23258e-005,1.64372e-006,2.9587e-005,0.000809533,2.13684e-005,0.000284364,8.62953e-006
1.64372e-005,2.05465e-006,4.39695e-005,2.87651e-006,3.04088e-005,0.000846927,2.17793e-005,0.000284775,7.80767e-006
4.7257e-005,7.80767e-006,3.69837e-005,7.39674e-006,6.78035e-005,0.00080378,2.99979e-005,0.000284364,7.39674e-006
1.39716e-005,2.05465e-006,3.73947e-005,2.05465e-006,2.71214e-005,0.000854735,2.17793e-005,0.000286829,7.39674e-006
1.84919e-005,2.87651e-006,5.21881e-005,2.46558e-006,3.82165e-005,0.000831312,2.05465e-005,0.000268337,7.39674e-006
1.60263e-005,2.46558e-006,5.42428e-005,2.87651e-006,3.82165e-005,0.000853091,2.17793e-005,0.000286418,7.80767e-006
9.86233e-005,7.80767e-006,3.24635e-005,6.57488e-006,7.068e-005,0.00087898,2.17793e-005,0.000289295,8.62953e-006
4.19149e-005,7.80767e-006,3.08198e-005,6.16395e-006,9.20484e-005,0.000908156,2.17793e-005,0.000286418,8.62953e-006
4.52023e-005,7.80767e-006,3.49291e-005,7.80767e-006,7.93095e-005,0.000853913,2.21902e-005,0.00029135,8.62953e-006
2.42449e-005,2.05465e-006,3.32853e-005,2.46558e-006,2.75323e-005,0.000851447,2.17793e-005,0.000288062,7.39674e-006
0.000161907,2.05465e-006,3.36963e-005,2.05465e-006,2.58886e-005,0.000825148,2.09574e-005,0.000272858,7.39674e-006
